,Country,BusVisa,TourVisa
0,Afghanistan,Business: Visa Required ,Tourist: Visa Required 
1,Albania,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
2,Algeria,Business: Visa Required ,Tourist: Visa Required 
3,Andorra,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
4,Angola,Business: Visa Required ,Tourist: Visa Required 
5,Anguilla,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
6,Antigua and Barbuda,Business: No visa is required for a stay of up to 30 days ,Tourist: No visa is required for a stay of up to 30 days
7,Argentina,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
8,Armenia,Business: No Visa Required ,Tourist: No Visa Required
9,Aruba,Business: No visa is required for a stay of up to 30 days ,Tourist: No visa is required for a stay of up to 30 days
10,Australia,Business: Visa Required ,Tourist: Visa Required 
11,Austria,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
12,Azerbaijan,Business: Visa Required ,Tourist: Visa Required 
13,Bahamas,Business: No visa is required for a stay of up to 3 months ,Tourist: No Visa Required
14,Bahrain,Business: Visa Required ,Tourist: Visa Required 
15,Bangladesh,Business: Visa Required ,Tourist: Visa Required 
16,Barbados,Business: No visa is required for a stay of up to six months ,Tourist: No visa is required for a stay of up to six months
17,Belarus,Business: Visa Required ,Tourist: Visa Required 
18,Belgium,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
19,Belize,Business: No Visa Required ,Tourist: No Visa Required
20,Benin,Business: Visa Required ,Tourist: Visa Required 
21,Bermuda,Business: No visa is required for you to travel to this destination. ,Tourist: No visa is required for you to travel to this destination.
22,Bhutan,Business: Visa Required ,Tourist: Visa Required 
23,Bolivia,Business: Visa Required ,Tourist: No visa is required for a stay of up to 90 days
24,"Bonaire, St. Eustatius, and Saba",Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
25,Bosnia Herzegovina,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
26,Botswana,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
27,Brazil,Business: No Visa Required ,Tourist: No Visa Required
28,British Virgin Islands,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
29,Brunei Darussalam,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
30,Bulgaria,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
31,Burkina Faso,Business: Visa Required ,Tourist: Visa Required 
32,Burundi,Business: Visa Required ,Tourist: Visa Required 
33,Cambodia,Business: Visa Required ,Tourist: Visa Required 
34,Cameroon,Business: Visa Required ,Tourist: Visa Required 
35,Canada,Business: No visa is required for a stay of up to six months ,Tourist: No visa is required for a stay of up to six months
36,Cape Verde,Business: Visa Required ,Tourist: Visa Required 
37,Cayman Islands,"Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ",Tourist: No visa is required for a stay up to 30 days.
38,Central African Republic,Business: Visa Required ,Tourist: Visa Required 
39,Chad,Business: Visa Required ,Tourist: Visa Required 
40,Chile,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
41,China,Business: Visa Required ,Tourist: Visa Required 
42,Colombia,"Business: Visa Required, consult Visa Kit for visa exempt eligibility. ",Tourist: No Visa Required 
43,Comores Islands,Business: Visa Required ,Tourist: Visa Required 
44,Congo,Business: Visa Required ,Tourist: Visa Required 
45,Cook Islands,Business: No visa is required for a stay of up to 30 days ,Tourist: No visa is required for a stay of up to 30 days
46,Costa Rica,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
47,Cote D’Ivoire,Business: Visa Required ,Tourist: Visa Required 
48,Croatia,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
49,Cuba,Business: Visa Required ,Tourist: Visa Required 
50,Curacao,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
51,Cyprus,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
52,Czech Republic,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
53,Democratic Republic of the Congo,Business: Visa Required ,Tourist: Visa Required 
54,Denmark,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
55,Djibouti,Business: Visa Required ,Tourist: Visa Required 
56,Dominica,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
57,Dominican Republic,Business: Visa Required ,Tourist: No visa is required for a stay up to 30 days.
58,Ecuador,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
59,Egypt,Business: Visa Required ,Tourist: Visa Required 
60,El Salvador,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
61,Equatorial Guinea,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
62,Eritrea,Business: Visa Required ,Tourist: Visa Required 
63,Estonia,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
64,Ethiopia,Business: Visa Required ,Tourist: Visa Required 
65,Falkland Islands,"Business: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility ","Tourist: Visa Required for stays exceeding 30 days, consult Visa Kit for eligibility"
66,Fiji,Business: No visa is required for a stay of up to six months ,Tourist: No visa is required for a stay of up to four months
67,Finland,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
68,France,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
69,French Guiana,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
70,French Polynesia,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
71,French West Indies,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
72,Gabon,Business: Visa Required ,Tourist: Visa Required 
73,Gambia,Business: Visa Required ,Tourist: Visa Required 
74,Georgia (CIS),Business: No Visa Required ,Tourist: No visa is required for a stay of up to 90 days
75,Germany,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
76,Ghana,Business: Visa Required ,Tourist: Visa Required 
77,Gibraltar,,Tourist: No visa is required for a stay of up to six months
78,Greece,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
79,Greenland,Business: No visa is required for a stay of up to 90 days. ,Tourist: No visa is required for a stay of up to 90 days.
80,Grenada,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
81,Guadeloupe,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
82,Guatemala,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
83,Guinea Bissau,Business: Visa Required ,Tourist: Visa Required 
84,"Guinea, Republic of",Business: Visa Required ,Tourist: Visa Required 
85,Guyana,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
86,Haiti,Business: No visa is required for a stay of up to 90 days ,Tourist: No visa is required for a stay of up to 90 days
